CODASS,NOMBRE,Q
240011,Álgebra Lineal,1
240012,Cálculo I,1
240015,Fundamentos de Informática,1
240013,Mecánica Fundamental,1
240014,Química I,1
240022,Cálculo II,2
240025,Expresión Gráfica,2
240021,Geometría,2
240024,Química II,2
240023,Termodinámica Fundamental,2
240131,Ecuaciones Diferenciales,3
240031,Electromagnetismo,3
240132,Informática,3
240033,Materiales,3
240133,Mecánica,3
240032,Métodos Numéricos,3
240401,Ampliación de Mecánica,4
240507,Ampliación de Química,4
240402,Comunicación de Información Técnica,4
240403,Debates Sobre Tecnología y Sociedad,4
240613,Desarrollo Tecnológico y Científico en la Antigüedad. Egipto y Oriente Próximo,4
240043,Dinámica de Sistemas,4
240041,Economía y Empresa,4
240042,Estadística,4
240505,Historia de la Ingeniería Industrial. La Escuela de Barcelona,4
240405,Juegos para Computadores. Estructura y Desarrollo,4
240404,Los Orígenes de la Ingeniería Moderna,4
240044,Proyecto I,4
240406,Taller Eléctrico,4
240407,Tecnología de la Luz,4
240504,Tecnologías Digitales para la Comunicación de los Proyectos,4
240141,Teoría de Máquinas y Mecanismos,4
240053,Electrotecnia,5
240054,Mecánica de los Medios Continuos,5
240055,Técnicas Estadísticas para la Calidad,5
240051,Tecnología del Medio Ambiente y Sostenibilidad,5
240151,Tecnología y Selección de Materiales,5
240052,Termodinámica,5
240161,Máquinas Eléctricas,6
240061,Mecánica de Fluidos,6
240162,Optimización y Simulación,6
240062,Organización y Gestión,6
240064,Proyecto II,6
240063,Resistencia de Materiales,6
240172,Control Automático,7
240072,Electrónica,7
240071,Gestión de Proyectos,7
240073,Sistemas de Fabricación,7
240171,Termotecnia,7
240626,Albert Einstein y la Ciencia y la Técnica del Siglo XX,8
240635,Ampliación de Resistencia de Materiales,8
240636,Análisis de Componentes Estructurales y Mecánicos para el MEF,8
240615,Análisis de Datos para la Industria y los Servicios,8
240651,Comunicación Oral en Inglés Académico y Profesional,8
240627,Cultura Tecnología e Historia en China y Japón,8
240607,Desarrollo de Aplicaciones Basadas en Microcontroladores,8
240629,Dinámica Computacional de Fluidos,8
240619,Fusión Nuclear. Iter,8
240628,Ingeniería Industria y Sociedad,8
240624,La Historia de la Matemática Aplicada en la Ingeniería,8
240637,La Robótica en la Ingeniería,8
240621,Logística Control de Flotas y Sig,8
240605,Movilidad Eléctrica,8
240642,Polímeros en la Industria,8
240601,Rehabilitación y Eficiencia Energética en la Edificación,8
240630,Sistemas de Distribución de Tuberías,8
240632,Sistemas de Gestión,8
240609,Sistemas Mecánicos,8
240608,Taller Electrónico,8
240644,Técnicas de Ensayos No Destructivos Industriales,8
240639,Tecnología Ferroviaria,8
240610,Vehículos,8
